criterion,max_depth,min_samples_split,min_samples_leaf,accuracy_bow,accuracy_tfidf
gini,5.0,2,1,0.5192307692307693,0.5192307692307693
gini,5.0,2,2,0.5096153846153846,0.5096153846153846
gini,5.0,2,4,0.5192307692307693,0.5192307692307693
gini,5.0,5,1,0.5192307692307693,0.5192307692307693
gini,5.0,5,2,0.5096153846153846,0.5096153846153846
gini,5.0,5,4,0.5192307692307693,0.5192307692307693
gini,5.0,10,1,0.5192307692307693,0.5192307692307693
gini,5.0,10,2,0.5096153846153846,0.5096153846153846
gini,5.0,10,4,0.5192307692307693,0.5192307692307693
gini,10.0,2,1,0.5769230769230769,0.5769230769230769
gini,10.0,2,2,0.5673076923076923,0.5576923076923077
gini,10.0,2,4,0.5769230769230769,0.5673076923076923
gini,10.0,5,1,0.5769230769230769,0.5769230769230769
gini,10.0,5,2,0.5673076923076923,0.5673076923076923
gini,10.0,5,4,0.5769230769230769,0.5673076923076923
gini,10.0,10,1,0.5769230769230769,0.5769230769230769
gini,10.0,10,2,0.5769230769230769,0.5769230769230769
gini,10.0,10,4,0.5769230769230769,0.5673076923076923
gini,15.0,2,1,0.5865384615384616,0.5673076923076923
gini,15.0,2,2,0.5865384615384616,0.5192307692307693
gini,15.0,2,4,0.5865384615384616,0.5480769230769231
gini,15.0,5,1,0.5961538461538461,0.5673076923076923
gini,15.0,5,2,0.5865384615384616,0.5384615384615384
gini,15.0,5,4,0.5865384615384616,0.5480769230769231
gini,15.0,10,1,0.5865384615384616,0.5576923076923077
gini,15.0,10,2,0.5865384615384616,0.5576923076923077
gini,15.0,10,4,0.5865384615384616,0.5480769230769231
gini,20.0,2,1,0.5961538461538461,0.5961538461538461
gini,20.0,2,2,0.5865384615384616,0.5480769230769231
gini,20.0,2,4,0.5769230769230769,0.5673076923076923
gini,20.0,5,1,0.5961538461538461,0.5961538461538461
gini,20.0,5,2,0.5769230769230769,0.5576923076923077
gini,20.0,5,4,0.5769230769230769,0.5673076923076923
gini,20.0,10,1,0.5961538461538461,0.5865384615384616
gini,20.0,10,2,0.5865384615384616,0.5865384615384616
gini,20.0,10,4,0.5769230769230769,0.5673076923076923
gini,,2,1,0.6442307692307693,0.6346153846153846
gini,,2,2,0.6442307692307693,0.5865384615384616
gini,,2,4,0.5576923076923077,0.6057692307692307
gini,,5,1,0.6346153846153846,0.6346153846153846
gini,,5,2,0.6442307692307693,0.6057692307692307
gini,,5,4,0.5576923076923077,0.6057692307692307
gini,,10,1,0.6346153846153846,0.625
gini,,10,2,0.625,0.6346153846153846
gini,,10,4,0.5576923076923077,0.6057692307692307
entropy,5.0,2,1,0.5576923076923077,0.5192307692307693
entropy,5.0,2,2,0.5576923076923077,0.5192307692307693
entropy,5.0,2,4,0.5576923076923077,0.5192307692307693
entropy,5.0,5,1,0.5576923076923077,0.5192307692307693
entropy,5.0,5,2,0.5576923076923077,0.5192307692307693
entropy,5.0,5,4,0.5576923076923077,0.5192307692307693
entropy,5.0,10,1,0.5576923076923077,0.5192307692307693
entropy,5.0,10,2,0.5576923076923077,0.5192307692307693
entropy,5.0,10,4,0.5576923076923077,0.5192307692307693
entropy,10.0,2,1,0.5769230769230769,0.5769230769230769
entropy,10.0,2,2,0.5673076923076923,0.5769230769230769
entropy,10.0,2,4,0.5769230769230769,0.5769230769230769
entropy,10.0,5,1,0.5769230769230769,0.5865384615384616
entropy,10.0,5,2,0.5673076923076923,0.5769230769230769
entropy,10.0,5,4,0.5769230769230769,0.5769230769230769
entropy,10.0,10,1,0.5769230769230769,0.5865384615384616
entropy,10.0,10,2,0.5673076923076923,0.5865384615384616
entropy,10.0,10,4,0.5769230769230769,0.5769230769230769
entropy,15.0,2,1,0.5673076923076923,0.5865384615384616
entropy,15.0,2,2,0.5673076923076923,0.5769230769230769
entropy,15.0,2,4,0.5673076923076923,0.5961538461538461
entropy,15.0,5,1,0.5673076923076923,0.5961538461538461
entropy,15.0,5,2,0.5673076923076923,0.5769230769230769
entropy,15.0,5,4,0.5673076923076923,0.5961538461538461
entropy,15.0,10,1,0.5673076923076923,0.6057692307692307
entropy,15.0,10,2,0.5576923076923077,0.6057692307692307
entropy,15.0,10,4,0.5673076923076923,0.5961538461538461
entropy,20.0,2,1,0.5769230769230769,0.5673076923076923
entropy,20.0,2,2,0.5769230769230769,0.5480769230769231
entropy,20.0,2,4,0.5865384615384616,0.5865384615384616
entropy,20.0,5,1,0.5769230769230769,0.5865384615384616
entropy,20.0,5,2,0.5865384615384616,0.5673076923076923
entropy,20.0,5,4,0.5865384615384616,0.5865384615384616
entropy,20.0,10,1,0.5865384615384616,0.5961538461538461
entropy,20.0,10,2,0.5865384615384616,0.5961538461538461
entropy,20.0,10,4,0.5865384615384616,0.5865384615384616
entropy,,2,1,0.6634615384615384,0.6634615384615384
entropy,,2,2,0.6634615384615384,0.6057692307692307
entropy,,2,4,0.6153846153846154,0.5961538461538461
entropy,,5,1,0.6634615384615384,0.6634615384615384
entropy,,5,2,0.6634615384615384,0.6057692307692307
entropy,,5,4,0.6153846153846154,0.5961538461538461
entropy,,10,1,0.6538461538461539,0.6826923076923077
entropy,,10,2,0.6538461538461539,0.6538461538461539
entropy,,10,4,0.6153846153846154,0.5961538461538461
